timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio
1769160609.5750945,1,0,0.8885,0,0.0,1.65
1769160609.6462445,1,0,0.9007,1,0.67,1.65
1769160609.6957362,1,0,0.9004,2,0.73,1.65
1769160609.7558744,1,0,0.9046,3,0.55,1.66
1769160609.8035717,1,0,0.9024,4,0.19,1.66
1769160609.8557966,1,0,0.9023,5,0.4,1.66
1769160609.9010994,1,0,0.9057,6,0.14,1.66
1769160609.9511158,1,0,0.9085,7,0.07,1.66
1769160610.0053158,1,0,0.8944,8,0.14,1.66
1769160610.050438,1,0,0.8996,9,0.21,1.66
1769160610.098198,1,0,0.9058,10,0.68,1.66
1769160610.1430538,1,0,0.9,11,0.8,1.66
1769160610.1882355,1,0,0.8999,12,0.47,1.65
1769160610.239792,1,0,0.8895,13,0.32,1.65
1769160610.300476,1,0,0.8899,14,1.04,1.66
1769160610.3615787,1,0,0.8957,15,0.23,1.66
1769160610.413436,1,0,0.8889,16,0.22,1.66
1769160610.479909,1,0,0.8967,17,0.16,1.65
1769160610.5346513,1,0,0.8919,18,0.43,1.65
1769160610.5853524,1,0,0.8995,19,0.54,1.66
1769160610.6300914,1,0,0.8787,20,0.36,1.66
1769160610.6883132,1,0,0.8909,21,0.32,1.66
1769160610.7548153,1,0,0.8871,22,0.37,1.65
1769160610.8143978,1,0,0.8704,23,0.84,1.65
1769160610.8625433,1,0,0.8706,24,0.08,1.65
1769160610.9149506,1,0,0.883,25,0.71,1.65
1769160610.9695392,1,0,0.8541,26,0.4,1.65
1769160611.0228527,1,0,0.8563,27,2.47,1.64
1769160611.0711327,1,0,0.8576,28,0.8,1.64
1769160611.126689,1,0,0.8495,29,1.02,1.64
1769160611.1752732,1,0,0.8501,30,0.32,1.64
1769160611.2245214,1,0,0.8581,31,0.63,1.64
1769160611.2710671,1,0,0.8557,32,1.04,1.65
1769160611.321045,1,0,0.8564,33,0.62,1.65
1769160611.3674343,1,0,0.8664,34,1.21,1.64
1769160611.415084,1,0,0.8613,35,1.13,1.65
1769160611.4616776,1,0,0.8591,36,0.12,1.65
1769160611.5163314,1,0,0.8817,37,0.41,1.65
1769160611.5644417,1,0,0.8736,38,0.27,1.65
1769160611.6293993,1,0,0.8697,39,1.08,1.66
1769160611.6931193,1,0,0.8827,40,0.09,1.66
1769160611.7500787,1,0,0.9114,41,0.64,1.66
1769160611.798411,1,0,0.8983,42,0.42,1.66
1769160611.8463936,1,0,0.895,43,0.59,1.66
1769160611.8904362,1,0,0.9019,44,0.12,1.66
1769160611.9348004,1,0,0.909,45,0.42,1.65
1769160611.975422,1,0,0.9035,46,0.28,1.65
1769160612.031122,1,0,0.8987,47,1.0,1.66
1769160612.0788052,1,0,0.893,48,0.69,1.65
1769160612.1232026,1,0,0.8882,49,0.97,1.65
1769160612.1728015,1,0,0.8975,50,0.27,1.65
1769160612.2199786,1,0,0.9032,51,0.92,1.65
1769160612.2764573,1,0,0.901,52,0.11,1.66
1769160612.3222363,1,0,0.8925,53,0.4,1.65
1769160612.3743303,1,0,0.8931,54,0.44,1.65
1769160612.4461806,1,0,0.8846,55,1.0,1.66
1769160612.4959176,1,0,0.8846,56,0.23,1.66
1769160612.5397122,1,0,0.8962,57,1.38,1.66
1769160612.5867345,1,0,0.8896,58,0.7,1.65
1769160612.6382027,1,0,0.8911,59,0.61,1.66
1769160612.6839483,1,0,0.9018,60,0.17,1.65
1769160612.7345383,1,0,0.9041,61,0.1,1.66
1769160612.7770104,1,0,0.9151,62,0.24,1.66
1769160612.8290646,1,0,0.9096,63,0.87,1.65
1769160612.880239,1,0,0.9035,64,0.43,1.65
1769160612.930587,1,0,0.9035,65,0.16,1.65
1769160612.9742477,1,0,0.9099,66,0.49,1.65
1769160613.0266325,1,0,0.9125,67,0.3,1.65
1769160613.0730247,1,0,0.9175,68,0.21,1.65
1769160613.1241739,1,0,0.908,69,0.15,1.65
1769160613.1764698,1,0,0.9136,70,0.73,1.65
1769160613.2201736,1,0,0.9126,71,0.09,1.65
1769160613.268277,1,0,0.9126,72,0.3,1.65
1769160613.3218467,1,0,0.9108,73,0.57,1.65
1769160613.3819826,1,0,0.909,74,0.13,1.65
1769160613.4259617,1,0,0.9064,75,0.32,1.66
1769160613.4793541,1,0,0.9079,76,0.79,1.66
1769160613.5258524,1,0,0.9065,77,0.56,1.66
1769160613.577493,1,0,0.8947,78,1.98,1.67
1769160613.6333935,1,0,0.8799,79,0.8,1.66
1769160613.691753,1,0,0.8967,80,0.66,1.66
1769160613.742544,1,0,0.8973,81,0.38,1.65
1769160613.7871656,1,0,0.8973,82,0.22,1.65
1769160613.8502116,1,0,0.9218,83,3.32,1.66
1769160613.905321,1,0,0.9145,84,0.64,1.67
1769160613.9591708,1,0,0.8861,85,9.12,1.72
1769160614.010518,1,0,0.8934,86,8.91,1.77
1769160614.0761375,1,0,0.8925,87,6.18,1.72
