timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio,is_real
1770809555.019544,3,56,0.6347,60,0.34,0.6,1
1770809555.136473,1,0,0.9007,62,6.74,1.53,1
1770809555.1365287,3,56,0.5701,62,0.73,0.6,1
1770809555.2676194,1,0,0.9077,64,1.84,1.54,1
1770809555,3,56,0.6481,64,1.64,0.6,1
1770809555.3847272,1,0,0.8902,66,6.38,1.53,1
1770809555.384774,3,56,0.5854,66,1.62,0.59,1
1770809555.5044005,1,0,0.9117,68,5.95,1.55,1
1770809555.504495,3,56,0.4855,68,0.64,0.58,1
1770809555.632308,1,0,0.904,70,1.29,1.52,1
1770809555.6323652,3,56,0.5292,70,2.21,0.6,1
1770809555.7533169,1,0,0.9009,72,2.11,1.54,1
1770809555.7533717,3,56,0.6621,72,1.8,0.59,1
1770809555.8847308,1,0,0.9117,74,6.32,1.52,1
1770809555.8847852,3,56,0.448,74,0.56,0.6,1
1770809555.9990983,1,0,0.9133,76,6.61,1.57,1
1770809555.9991612,3,56,0.6746,76,0.3,0.59,1
1770809556.117419,1,0,0.9129,78,1.81,1.57,1
1770809556.1174743,3,56,0.7224,78,1.71,0.6,1
1770809556.2522466,1,0,0.9118,80,5.58,1.54,1
1770809556.2523012,3,56,0.4613,80,1.61,0.6,1
1770809556.3778532,1,0,0.9091,82,4.97,1.56,1
1770809556.3779168,3,56,0.6924,82,0.5,0.59,1
1770809556.5063975,1,0,0.9177,84,0.15,1.57,1
1770809556.5064478,3,56,0.546,84,1.94,0.6,1
1770809556.6343114,1,0,0.9105,86,7.01,1.53,1
1770809556.6343677,3,56,0.523,86,1.22,0.59,1
1770809556.7626514,1,0,0.9118,88,3.95,1.54,1
1770809556.7627132,3,56,0.5593,88,0.41,0.6,1
1770809556.9022017,1,0,0.8969,90,1.44,1.52,1
1770809556.9022682,3,56,0.4104,90,1.07,0.61,1
1770809557.0262208,1,0,0.8921,92,2.48,1.51,1
1770809557.0263484,3,56,0.6753,92,0.43,0.58,1
1770809557.1473408,1,0,0.8827,94,2.22,1.52,1
1770809557.1473954,3,56,0.5532,94,1.33,0.6,1
